lambda            k
0.03861258   0.04126759
0.10600000   0.79850000
0.10600000   0.79850000
0.10690000   0.81200000
0.10690000   0.81200000
0.10780000   0.82200000
0.10780000   0.82200000
0.10880000   0.83000000
0.10880000   0.83000000
0.10970000   0.78700000
0.10970000   0.78700000
0.11070000   0.84550000
0.11070000   0.84550000
0.11170000   0.85150000
0.11170000   0.85150000
0.11270000   0.85900000
0.11270000   0.85900000
0.11370000   0.86200000
0.11370000   0.86200000
0.11480000   0.85200000
0.11480000   0.85200000
0.11590000   0.83900000
0.11590000   0.83900000
0.11700000   0.82050000
0.11700000   0.82050000
0.11810000   0.79100000
0.11810000   0.79100000
0.11875428   0.04851458
0.11920000   0.75450000
0.11920000   0.75450000
0.12040000   0.72000000
0.12040000   0.72000000
0.12160000   0.70650000
0.12160000   0.70650000
0.12160000   0.70650000
0.12160000   0.70650000
0.12280000   0.65650000
0.12280000   0.65650000
0.12400000   0.62550000
0.12400000   0.62550000
0.12520000   0.59350000
0.12520000   0.59350000
0.12650000   0.55950000
0.12650000   0.55950000
0.12780000   0.54150000
0.12780000   0.54150000
0.12920000   0.55300000
0.12920000   0.55300000
0.13050000   0.54800000
0.13050000   0.54800000
0.13190000   0.48500000
0.13190000   0.48500000
0.13330000   0.43200000
0.13330000   0.43200000
0.13480000   0.40050000
0.13480000   0.40050000
0.13620000   0.39000000
0.13620000   0.39000000
0.13780000   0.38550000
0.13780000   0.38550000
0.13930000   0.38450000
0.13930000   0.38450000
0.14090000   0.74996262
0.14250000   0.82128721
0.14420000   0.57500000
0.14420000   0.57500000
0.14590000   0.61700000
0.14590000   0.61700000
0.14760000   0.64650000
0.14760000   0.64650000
0.14940000   0.65700000
0.14940000   0.65700000
0.15120000   0.65400000
0.15120000   0.65400000
0.15310000   0.64050000
0.15310000   0.64050000
0.15500000   0.60950000
0.15500000   0.60950000
0.15690000   0.53450000
0.15690000   0.53450000
0.15900000   0.43700000
0.15900000   0.43700000
0.16100000   0.31350000
0.16100000   0.31350000
0.16310000   0.17450000
0.16310000   0.17450000
0.16530000   0.08600000
0.16530000   0.08600000
0.16750000   0.04950000
0.16750000   0.04950000
0.16900000   0.00145000
0.16900000   0.00145000
0.16980000   0.18600000
0.16980000   0.18600000
0.17100000   0.00345000
0.17100000   0.00345000
0.17220000   0.01450000
0.17220000   0.01450000
0.17300000   0.00215000
0.17300000   0.00215000
0.17460000   0.00600000
0.17500000   0.00160000
0.17500000   0.00160000
0.17700000   0.00150000
0.17700000   0.00150000
0.17900000   0.00185000
0.17900000   0.00185000
0.18100000   0.00205000
0.18100000   0.00205000
0.18300000   0.00220000
0.18300000   0.00220000
0.18500000   0.00230000
0.18500000   0.00230000
0.18700000   0.00205000
0.18700000   0.00205000
0.18900000   0.00155000
0.18900000   0.00155000
0.19100000   0.00100000
0.19100000   0.00100000
0.20000000   0.00100000
0.25000000   0.00023747
0.30000000   0.00687291
0.35000000   0.02241607
0.35461437   0.02399746
0.72818631   0.05441820
1.20003329   0.04897996
1.57887023   0.02348470
1.71106347   0.05454120
1.97569466   0.01375023
2.00000000   0.00019836
2.00040008   0.00019849
2.00080032   0.00019862
2.00120072   0.00019876
2.00160128   0.00019889
2.00200200   0.00019902
2.00240288   0.00019916
2.00280393   0.00019929
2.00320513   0.00019943
2.00360649   0.00019956
2.00400802   0.00019970
2.00440970   0.00019983
2.00481155   0.00019996
2.00521356   0.00020010
2.00561572   0.00020023
2.00601805   0.00020037
2.00642055   0.00020050
2.00682320   0.00020064
2.00722601   0.00020077
2.00762899   0.00020091
2.00803213   0.00020105
2.00843543   0.00020118
2.00883889   0.00020132
2.00924252   0.00020145
2.00964630   0.00020159
2.01005025   0.00020173
2.01045436   0.00020186
2.01085864   0.00020200
2.01126307   0.00020213
2.01166767   0.00020227
2.01207243   0.00020241
2.01247736   0.00020255
2.01288245   0.00020268
2.01328770   0.00020282
2.01369311   0.00020296
2.01409869   0.00020309
2.01450443   0.00020323
2.01491034   0.00020337
2.01531640   0.00020351
2.01572264   0.00020365
2.01612903   0.00020378
2.01653559   0.00020392
2.01694232   0.00020406
2.01734920   0.00020420
2.01775626   0.00020434
2.01816347   0.00020448
2.01857085   0.00020462
2.01897840   0.00020475
2.01938611   0.00020489
2.01979398   0.00020503
2.02020202   0.00020517
2.02061022   0.00020531
2.02101859   0.00020545
2.02142713   0.00020559
2.02183583   0.00020573
2.02224469   0.00020587
2.02265372   0.00020601
2.02306292   0.00020615
2.02347228   0.00020629
2.02388181   0.00020643
2.02429150   0.00020657
2.02470136   0.00020671
2.02511138   0.00020685
2.02552157   0.00020700
2.02593193   0.00020714
2.02634245   0.00020728
2.02675314   0.00020742
2.02716400   0.00020756
2.02757502   0.00020770
2.02798621   0.00020785
2.02839757   0.00020799
2.02880909   0.00020813
2.02922078   0.00020827
2.02963264   0.00020841
2.03004466   0.00020856
2.03045685   0.00020870
2.03086921   0.00020884
2.03128174   0.00020899
2.03169443   0.00020913
2.03210730   0.00020927
2.03252033   0.00020942
2.03293352   0.00020956
2.03334689   0.00020970
2.03376042   0.00020985
2.03417413   0.00020999
2.03458800   0.00021013
2.03500204   0.00021028
2.03541624   0.00021042
2.03583062   0.00021057
2.03624516   0.00021071
2.03665988   0.00021086
2.03707476   0.00021100
2.03748981   0.00021115
2.03790503   0.00021129
2.03832042   0.00021144
2.03873598   0.00021158
2.03915171   0.00021173
2.03956761   0.00021187
2.03998368   0.00021202
2.04039992   0.00021216
2.04081633   0.00021231
2.04123290   0.00021246
2.04164965   0.00021260
2.04206657   0.00021275
2.04248366   0.00021290
2.04290092   0.00021304
2.04331835   0.00021319
2.04373595   0.00021334
2.04415372   0.00021348
2.04457166   0.00021363
2.04498978   0.00021378
2.04540806   0.00021393
2.04582651   0.00021407
2.04624514   0.00021422
2.04666394   0.00021437
2.04708291   0.00021452
2.04750205   0.00021467
2.04792136   0.00021482
2.04834084   0.00021496
2.04876050   0.00021511
2.04918033   0.00021526
2.04960033   0.00021541
2.05002050   0.00021556
2.05044084   0.00021571
2.05086136   0.00021586
2.05128205   0.00021601
2.05170291   0.00021616
2.05212395   0.00021631
2.05254516   0.00021646
2.05296654   0.00021661
2.05338809   0.00021676
2.05380982   0.00021691
2.05423172   0.00021706
2.05465379   0.00021721
2.05507604   0.00021736
2.05549846   0.00021751
2.05592105   0.00021766
2.05634382   0.00021781
2.05676676   0.00021797
2.05718988   0.00021812
2.05761317   0.00021827
2.05803663   0.00021842
2.05846027   0.00021857
2.05888408   0.00021873
2.05930807   0.00021888
2.05973223   0.00021903
2.06015657   0.00021918
2.06058108   0.00021934
2.06100577   0.00021949
2.06143063   0.00021964
2.06185567   0.00021979
2.06228088   0.00021995
2.06270627   0.00022010
2.06313183   0.00022025
2.06355757   0.00022041
2.06398349   0.00022056
2.06440958   0.00022072
2.06483585   0.00022087
2.06526229   0.00022102
2.06568891   0.00022118
2.06611570   0.00022133
2.06654267   0.00022149
2.06696982   0.00022164
2.06739715   0.00022180
2.06782465   0.00022195
2.06825233   0.00022211
2.06868018   0.00022227
2.06910821   0.00022242
2.06953642   0.00022258
2.06996481   0.00022273
2.07039337   0.00022289
2.07082212   0.00022305
2.07125104   0.00022320
2.07168013   0.00022336
2.07210941   0.00022351
2.07253886   0.00022367
2.07296849   0.00022383
2.07339830   0.00022399
2.07382829   0.00022414
2.07425845   0.00022430
2.07468880   0.00022446
2.07511932   0.00022462
2.07555002   0.00022477
2.07598090   0.00022493
2.07641196   0.00022509
2.07684320   0.00022525
2.07727462   0.00022541
2.07770621   0.00022557
2.07813799   0.00022573
2.07856994   0.00022588
2.07900208   0.00022604
2.07943439   0.00022620
2.07986689   0.00022636
2.08029956   0.00022652
2.08073242   0.00022668
2.08116545   0.00022684
2.08159867   0.00022700
2.08203206   0.00022716
2.08246564   0.00022732
2.08289940   0.00022748
2.08333333   0.00022764
2.08376745   0.00022780
2.08420175   0.00022797
2.08463623   0.00022813
2.08507089   0.00022829
2.08550574   0.00022845
2.08594076   0.00022861
2.08637596   0.00022877
2.08681135   0.00022894
2.08724692   0.00022910
2.08768267   0.00022926
2.08811861   0.00022942
2.08855472   0.00022958
2.08899102   0.00022975
2.08942750   0.00022991
2.08986416   0.00023007
2.09030100   0.00023024
2.09073803   0.00023040
2.09117524   0.00023056
2.09161263   0.00023073
2.09205021   0.00023089
