lambda            k
0.20000000   0.00000001
0.25000000   0.00000001
0.25000000   0.00000001
0.30000000   0.00000001
0.30000000   0.00000001
0.33700000   0.00000001
0.33700000   0.00000001
0.40000000   0.00000041
0.40000000   0.00000041
0.48800000   0.00002350
0.48800000   0.00002350
0.50000000   0.00002148
0.51500000   0.00002334
0.51500000   0.00002334
0.55000000   0.00000283
0.55000000   0.00000283
0.63300000   0.00000069
0.63300000   0.00000069
0.69400000   0.00000001
0.69400000   0.00000001
0.86000000   0.00000001
0.86000000   0.00000001
1.06000000   0.00000001
1.06000000   0.00000001
1.30000000   0.00000001
1.30000000   0.00000001
1.53600000   0.00000001
1.53600000   0.00000001
1.80000000   0.00000001
1.80000000   0.00000001
2.00000000   0.00000001
2.00000000   0.00000001
2.25000000   0.00000001
2.25000000   0.00000001
2.50000000   0.00000062
2.50000000   0.00000062
2.70000000   0.00000145
2.70000000   0.00000145
3.00000000   0.00001452
3.00000000   0.00001452
3.20000000   0.00000594
3.20000000   0.00000594
3.39200000   0.00000437
3.39200000   0.00000437
3.50000000   0.00001106
3.50000000   0.00001106
3.75000000   0.00008752
3.75000000   0.00008752
3.76540938   0.00010681
3.90971472   0.00022250
3.98783572   0.00049222
4.00000000   0.00057074
4.00000000   0.00057074
4.06563244   0.00091361
4.13636187   0.00121264
4.20690600   0.00135036
4.28508876   0.00133422
4.35939044   0.00159199
4.43395463   0.00097070
4.50000000   0.00116844
4.50000000   0.00116844
4.50000000   0.00116844
4.50842618   0.00123225
4.58662438   0.00217618
4.65721484   0.00317318
4.80643588   0.00411108
5.00000000   0.00409261
5.00000000   0.00409261
5.00000000   0.00409261
5.10940760   0.00464873
5.40863722   0.00441101
5.50000000   0.00482886
5.50000000   0.00482886
5.50000000   0.00482886
5.70797493   0.00729937
6.00000000   0.00569060
6.00000000   0.00569060
6.00000000   0.00569060
6.01131726   0.00575243
6.20000000   0.01026917
6.20000000   0.01026917
6.31390293   0.01532373
6.50000000   0.01100117
6.50000000   0.01100117
6.60381074   0.01414715
6.72168730   0.00806167
6.77292677   0.00711513
6.81068525   0.00968329
6.86811900   0.01655249
6.90516105   0.01948197
6.92162417   0.02104085
6.97596955   0.02106297
7.02612030   0.01402715
7.06676308   0.01130535
7.12342080   0.01145749
7.14285714   0.01136270
7.14290000   0.01136158
7.17572198   0.01146425
7.20000000   0.01137037
7.20000000   0.01137037
7.23414755   0.01075314
7.29927007   0.00746933
7.30443448   0.00736226
7.35943775   0.00829014
7.39283913   0.00933101
7.40740000   0.00953566
7.43784881   0.00981232
7.46268657   0.00753562
7.47768426   0.00625480
7.52373621   0.00198351
7.58210499   0.00454227
7.60570687   0.00062916
7.63541667   0.01749242
7.69230000   0.03795036
7.69230769   0.03795087
7.70767613   0.03548675
7.75046260   0.00858500
7.78751660   0.04690078
7.81241673   0.07670826
7.81250000   0.07680059
7.81250000   0.07680059
7.83747661   0.09220436
7.86269777   0.09714314
7.88172043   0.08708080
7.90000000   0.10973208
7.90000000   0.10973208
7.90722762   0.13827229
7.91363023   0.15820790
7.92646661   0.20885833
7.93650000   0.24671945
7.95874050   0.25800984
7.98474946   0.28227960
7.99781779   0.31617208
8.00000000   0.32212981
8.00000000   0.32212981
8.00436800   0.33538429
8.01750068   0.37588137
8.03067653   0.41375779
8.03728070   0.43301409
8.05052169   0.48140136
8.06450000   0.50245883
8.08381583   0.51013628
8.10392482   0.51855284
8.12413411   0.53754845
8.13089296   0.55317872
8.16485659   0.60077617
8.19670000   0.61194869
8.19672131   0.61198396
8.20000000   0.61679842
8.20000000   0.61679842
8.20598936   0.62476743
8.21979254   0.64617105
8.25450450   0.71672576
8.27547276   0.73933338
8.30359671   0.77278453
8.33330000   0.79621615
8.33333333   0.79624221
8.33902162   0.80072285
8.36757991   0.82900891
8.40340000   0.86971432
8.40355403   0.86990766
8.42528736   0.87483781
8.45444060   0.91813254
8.47460000   1.02176586
8.47643828   1.03377002
8.50000000   1.11682811
8.50000000   1.11682811
8.52077884   1.09993027
8.54700855   0.98346052
8.55808523   0.99278023
8.58816637   1.08830286
8.62070000   1.14514111
8.62606649   1.15000154
8.64896755   1.18587703
8.67199054   1.28039940
8.69513642   1.41674045
8.70000000   1.43487891
8.70000000   1.43487891
8.71840618   1.47190583
8.74962698   1.42855496
8.74962698   1.42855496
8.77190000   1.47694106
8.77192982   1.47701341
8.78107218   1.50779004
8.78107218   1.50779004
8.80480480   1.62206847
8.81274421   1.65703722
8.82866606   1.66260088
