lambda            k
0.30000000   0.00000010
0.40500000   0.00000010
0.40500000   0.00000010
0.53500000   0.00000010
0.53500000   0.00000010
0.65600000   0.00000010
0.65600000   0.00000010
0.70600000   0.00000010
0.70600000   0.00000010
0.80000000   0.00000010
0.80000000   0.00000010
1.00000000   0.00000035
1.00000000   0.00000035
1.07000000   0.00000240
1.07000000   0.00000240
1.15000000   0.00000095
1.15000000   0.00000095
1.20000000   0.00000340
1.20000000   0.00000340
1.30000000   0.00001700
1.30000000   0.00001700
1.40000000   0.00001100
1.40000000   0.00001100
1.50000000   0.00003400
1.50000000   0.00003400
1.58000000   0.00021000
1.58000000   0.00021000
1.60000000   0.00019000
1.60000000   0.00019000
1.70000000   0.00009000
1.70000000   0.00009000
1.80000000   0.00007600
1.80000000   0.00007600
1.90000000   0.00015000
1.90000000   0.00015000
2.00000000   0.00152701
2.00000000   0.00152701
2.00000000   0.00152701
2.00040008   0.00258391
2.00080032   0.00258680
2.00120072   0.00258969
2.00160128   0.00259259
2.00200200   0.00259549
2.00240288   0.00259840
2.00280393   0.00260131
2.00320513   0.00260423
2.00360649   0.00260715
2.00400802   0.00261008
2.00440970   0.00261301
2.00481155   0.00261594
2.00521356   0.00261889
2.00561572   0.00262183
2.00601805   0.00262478
2.00642055   0.00262774
2.00682320   0.00263070
2.00722601   0.00263366
2.00762899   0.00263663
2.00803213   0.00263961
2.00843543   0.00264259
2.00883889   0.00264557
2.00924252   0.00264856
2.00964630   0.00265156
2.01005025   0.00265455
2.01045436   0.00265756
2.01085864   0.00266057
2.01126307   0.00266358
2.01166767   0.00266660
2.01207243   0.00266963
2.01247736   0.00267265
2.01288245   0.00267569
2.01328770   0.00267873
2.01369311   0.00268177
2.01409869   0.00268482
2.01450443   0.00268787
2.01491034   0.00269093
2.01531640   0.00269400
2.01572264   0.00269707
2.01612903   0.00270014
2.01653559   0.00270322
2.01694232   0.00270631
2.01734920   0.00270940
2.01775626   0.00271249
2.01816347   0.00271559
2.01857085   0.00271870
2.01897840   0.00272181
2.01938611   0.00272492
2.01979398   0.00272804
2.02020202   0.00273117
2.02061022   0.00273430
2.02101859   0.00273744
2.02142713   0.00274058
2.02183583   0.00274372
2.02224469   0.00274688
2.02265372   0.00275003
2.02306292   0.00275320
2.02347228   0.00275636
2.02388181   0.00275954
2.02429150   0.00276271
2.02470136   0.00276590
2.02511138   0.00276909
2.02552157   0.00277228
2.02593193   0.00277548
2.02634245   0.00277869
2.02675314   0.00278190
2.02716400   0.00278511
2.02757502   0.00278834
2.02798621   0.00279156
2.02839757   0.00279479
2.02880909   0.00279803
2.02922078   0.00280128
2.02963264   0.00280452
2.03004466   0.00280778
2.03045685   0.00281104
2.03086921   0.00281430
2.03128174   0.00281757
2.03169443   0.00282085
2.03210730   0.00282413
2.03252033   0.00282742
2.03293352   0.00283071
2.03334689   0.00283401
2.03376042   0.00283731
2.03417413   0.00284062
2.03458800   0.00284394
2.03500204   0.00284726
2.03541624   0.00285059
2.03583062   0.00285392
2.03624516   0.00285726
2.03665988   0.00286060
2.03707476   0.00286395
2.03748981   0.00286730
2.03790503   0.00287066
2.03832042   0.00287403
2.03873598   0.00287740
2.03915171   0.00288078
2.03956761   0.00288416
2.03998368   0.00288755
2.04039992   0.00289095
2.04081633   0.00289435
2.04123290   0.00289776
2.04164965   0.00290117
2.04206657   0.00290459
