lambda            n
0.10600000   1.33500000
0.10690000   1.35500000
0.10690000   1.35500000
0.10780000   1.38500000
0.10780000   1.38500000
0.10880000   1.40500000
0.10880000   1.40500000
0.10970000   1.43500000
0.10970000   1.43500000
0.11070000   1.46000000
0.11070000   1.46000000
0.11170000   1.49500000
0.11170000   1.49500000
0.11270000   1.52500000
0.11270000   1.52500000
0.11370000   1.56500000
0.11370000   1.56500000
0.11480000   1.62000000
0.11480000   1.62000000
0.11590000   1.65500000
0.11590000   1.65500000
0.11700000   1.70000000
0.11700000   1.70000000
0.11810000   1.74000000
0.11810000   1.74000000
0.11920000   1.77500000
0.11920000   1.77500000
0.12040000   1.79500000
0.12040000   1.79500000
0.12160000   1.69750000
0.12160000   1.69750000
0.12160000   1.69750000
0.12160000   1.69750000
0.12280000   1.82000000
0.12280000   1.82000000
0.12400000   1.83000000
0.12400000   1.83000000
0.12520000   1.83000000
0.12520000   1.83000000
0.12650000   1.82500000
0.12650000   1.82500000
0.12780000   1.80500000
0.12780000   1.80500000
0.12920000   1.80000000
0.12920000   1.80000000
0.13050000   1.83500000
0.13050000   1.83500000
0.13190000   1.86500000
0.13190000   1.86500000
0.13330000   1.84500000
0.13330000   1.84500000
0.13480000   1.81500000
0.13480000   1.81500000
0.13620000   1.77500000
0.13620000   1.77500000
0.13780000   1.74000000
0.13780000   1.74000000
0.13930000   1.68500000
0.13930000   1.68500000
0.14090000   1.63000000
0.14090000   1.63000000
0.14250000   1.59500000
0.14250000   1.59500000
0.14420000   1.62500000
0.14420000   1.62500000
0.14590000   1.69000000
0.14590000   1.69000000
0.14760000   1.76500000
0.14760000   1.76500000
0.14940000   1.83500000
0.14940000   1.83500000
0.15120000   1.90500000
0.15120000   1.90500000
0.15310000   1.98000000
0.15310000   1.98000000
0.15500000   2.06000000
0.15500000   2.06000000
0.15690000   2.13500000
0.15690000   2.13500000
0.15900000   2.22000000
0.15900000   2.22000000
0.16100000   2.24000000
0.16100000   2.24000000
0.16310000   2.22000000
0.16310000   2.22000000
0.16530000   2.15500000
0.16530000   2.15500000
0.16750000   2.08000000
0.16750000   2.08000000
0.16980000   2.01500000
0.16980000   2.01500000
0.17220000   1.97000000
0.17220000   1.97000000
0.17460000   1.93500000
0.17460000   1.93500000
0.17710000   1.90000000
0.17710000   1.90000000
0.17970000   1.86500000
0.17970000   1.86500000
0.18230000   1.84000000
0.18230000   1.84000000
0.18510000   1.82000000
0.18510000   1.82000000
0.19899000   1.57796000
0.20000000   1.73950000
0.20000000   1.73950000
0.20009000   1.73966500
0.20009000   1.73966500
0.20250998   1.56179954
0.20447000   1.72661500
0.20447000   1.72661500
0.20821000   1.71686500
0.20821000   1.71686500
0.20988000   1.86081100
0.21108000   1.71009500
0.21108000   1.71009500
0.21445000   1.70279200
0.21445000   1.70279200
0.21944000   1.69295995
0.21944000   1.69295995
0.21946000   1.69090000
0.21946000   1.69090000
0.22400000   1.68402220
0.22400000   1.68402220
0.22651000   1.67926760
0.22651000   1.67926760
0.23110000   1.67390210
0.23110000   1.67390210
0.23129000   1.67007500
0.23129000   1.67007500
0.24281000   1.65921005
0.24281000   1.65921005
0.24459000   1.65662225
0.24459000   1.65662225
