lambda            n
0.09300000   1.55663848
0.20000000   1.53964061
0.25000000   1.53208798
0.30000000   1.52480141
0.35000000   1.51779163
0.36000000   1.51642371
0.40000000   1.51106768
0.40500000   1.51041132
0.40500000   1.51041132
0.40500000   1.51041132
0.40500000   1.51041132
0.40800000   1.51001892
0.44900000   1.50476291
0.45000000   1.50463721
0.50000000   1.49850516
0.53500000   1.49439198
0.53500000   1.49439198
0.53500000   1.49439198
0.53500000   1.49439198
0.55000000   1.49267450
0.55600000   1.49199510
0.60000000   1.48714465
0.65600000   1.48130239
0.65600000   1.48130239
0.65600000   1.48130239
0.65600000   1.48130239
0.70000000   1.47696474
0.70200000   1.47677269
0.70600000   1.47638991
0.70600000   1.47638991
0.70600000   1.47638991
0.70600000   1.47638991
0.71400000   1.47562956
0.72500000   1.47459528
0.73500000   1.47366612
0.74600000   1.47265603
0.75800000   1.47156816
0.76900000   1.47058359
0.78100000   1.46952302
0.79600000   1.46821666
0.80000000   1.46787187
0.80600000   1.46735745
0.82000000   1.46616985
0.83300000   1.46508270
0.86200000   1.46270971
0.86700000   1.46230763
0.87700000   1.46150954
0.90000000   1.45970395
0.90000000   1.45970395
0.90900000   1.45900856
0.92600000   1.45771184
0.94300000   1.45643681
0.96200000   1.45503743
1.00000000   1.45232265
1.00000000   1.45232265
1.00000000   1.45232265
1.00000000   1.45232265
1.02000000   1.45094253
1.04200000   1.44946856
1.06400000   1.44804828
1.08700000   1.44663297
1.10000000   1.44587076
1.11100000   1.44525057
1.13600000   1.44393903
1.16300000   1.44270004
1.19000000   1.44165974
1.20000000   1.44131767
1.20000000   1.44131767
1.20000000   1.44131767
1.22000000   1.44071433
1.25000000   1.44004046
1.26600000   1.43980608
1.28200000   1.43965680
1.29900000   1.43960817
1.30000000   1.43960816
1.31600000   1.43966622
1.33300000   1.43979425
1.35100000   1.44004974
1.37000000   1.44033917
1.38900000   1.44063134
1.40000000   1.44078890
1.40800000   1.44095138
1.42900000   1.44123296
1.44900000   1.44138007
1.47100000   1.44148003
1.49300000   1.44150967
1.50000000   1.44169364
1.50000000   1.44169364
1.50000000   1.44169364
1.51500000   1.44189585
1.53800000   1.44238560
1.55000000   1.44281579
1.56300000   1.44333431
1.58700000   1.44454624
1.60000000   1.44537007
1.61300000   1.44627575
1.63900000   1.44818464
1.66700000   1.45070527
1.69500000   1.45342130
1.70000000   1.45395044
1.72400000   1.45636853
1.75400000   1.45940269
1.78600000   1.46235036
1.80000000   1.46354227
1.80000000   1.46354227
1.81800000   1.46502910
1.85200000   1.46727577
1.88700000   1.46878828
1.90000000   1.46940948
